clave,nombre,region
1,Ahualulco,Centro
2,Alaquines,Media
3,Aquismon,Huasteca
4,Armadillo de los Infante,Centro
5,Cardenas,Media
6,Catorce,Altiplano
7,Cedral,Altiplano
8,Cerritos,Media
9,Cerro de San Pedro,Centro
10,Ciudad del Maiz,Media
11,Ciudad Fernandez,Media
12,Tancanhuitz,Huasteca
13,Ciudad Valles,Huasteca
14,Coxcatlan,Huasteca
15,Charcas,Altiplano
16,Ebano,Huasteca
17,Guadalcazar,Altiplano
18,Huehuetlan,Huasteca
19,Lagunillas,Media
20,Matehuala,Altiplano
21,Mexquitic de Carmona,Centro
22,Moctezuma,Altiplano
23,Rayon,Media
24,Rioverde,Media
25,Salinas,Altiplano
26,San Antonio,Huasteca
27,San Ciro de Acosta,Media
28,San Luis Potosi,Centro
29,San Martin Chalchicuautla,Huasteca
30,San Nicolas Tolentino,Media
31,Santa Catarina,Media
32,Santa Maria del Rio,Centro
33,Santo Domingo,Altiplano
34,San Vicente de Tancuayalab,Huasteca
35,Soledad de Graciano Sanchez,Centro
36,Tamasopo,Huasteca
37,Tamazunchale,Huasteca
38,Tampacan,Huasteca
39,Tampamolon Corona,Huasteca
40,Tamuin,Huasteca
41,Tanlajas,Huasteca
42,Tanquian de Escobedo,Huasteca
43,Tierra Nueva,Centro
44,Vanegas,Altiplano
45,Venado,Altiplano
46,Villa de Arriaga,Altiplano
47,Villa de Guadalupe,Altiplano
48,Villa de la Paz,Altiplano
49,Villa de Ramos,Altiplano
50,Villa de Reyes,Centro
51,Villa Hidalgo,Centro
52,Villa Juarez,Media
53,Axtla de Terrazas,Huasteca
54,Xilitla,Huasteca
55,Zaragoza,Centro
56,Villa de Arista,Altiplano
57,Matlapa,Huasteca
58,El Naranjo,Huasteca
59,Villa de Pozos,Centro
